Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSG00312	JP	Jスターズ ビクトリーバーサス AR	http://ares.dl.playstation.net/cdn/JP0700/PCSG00312_00/PZoRLVjpEDISyWeXUCzzyeHNUzMGCrYyDlORsTmwiYFTtMPqrgjkUjxjYznDBetmjdZnuVvBtObuuqMFTfeIRiictYswqCvuUaPLT.pkg	KO5ifR1dg/J5YXyvAJBLoLYYGxqB7A/3MjH1Cg4LC3YMcgwI8PHE5z9R2VQZhsSbzzP9pCRfuDp5jcb44AYA4XESlAAA	JP0700-PCSG00312_00-WJ45JSVVSARAPPLI	2018-05-20 09:25:52	ジェイスターズ ビクトリーバーサス AR	229297056	7e3c8a7a9eaf95da9e38b2965cbabeebed5290504197640ccd5ade71198a406f	3.00	1.00
PCSA00001	US	ModNation Racers: Road Trip	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00001_00/eMylfKGUWSacpFJvIunKkOGpgWquRbkHqLWcmOYGwNNkBwOUOnybfIUNNKgsnWliuAEopLbxEHCtkNgAvbstqnMOdxlvvQTFbOKnC.pkg	KO5ifR1dQ+eHBlgi6TIwBNnv6xcUZoAE8Pmvr7x+GZfOUenqhdMW+V+78HQ0xgc3AACVEBRW	UP9000-PCSA00001_00-MNRV000000000000	2017-09-26 00:00:00		1566749952	4a112e77cde59c3b484951613b6cc5505227b59c5f98500feb6285f3209309c5	1.05	1.00
PCSA00002	US	MLB 12 The Show	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00002_00/PiJFAkuhhLfLCvKZzvVbiHylORViNBrWOWQMzQMVgtYJKHTGPMhIuuoPCQDAJfoVVLPlpOROwheUUrfCAJIImfcQVXwqaolIXBTYt.pkg	KO5ifR1dQ+eHBlgi6TIwAtnv6+NkaBTi4Rrs4R8e5hniiM9/Icc1Fv9jP54XopBzze3F/sujMT64AQDLrBWQ	UP9000-PCSA00002_00-MLB12THESHOWVITA	2018-03-29 03:41:54		2938047056	4c8c3e216b5a0dc1254f8c19e0546d0fa3a528ce9d10be12ac0708b41c34318d	1.52	1.00
PCSA00003	US	Sound Shapes	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00003_00/lLvrgcPSOXLoqIoRjZKLmNjuNVwWSmwiOVXSqXWfZoHsRgBxUHnqBlBmdWLzcGpIoutOzzLAThgGCEDtyJDeYuvjEqnohMnXAIdWS.pkg	KO5ifR1dQ+eHBlgi6TIwBtkf7B/q5xLs4RjgGgy2FJ//imqUDxUqHJ1vYvVfR6Ljf8dojA9uAAB1FxQs	UP9000-PCSA00003_00-SOUNDSHAPES00000	2017-09-26 00:00:00		1015856544	31518ca78475de3a79347fdabf132eea85c829127928099ee75cdb5592195c19	1.69	1.00
PCSA00004	US	Escape Plan	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00004_00/auQpFRPFjlUVWQbTphOChyhTXxATshUYicqXbPlOiKydHYKXJSShQjbfULYGLDqunJfubTZgigvGTxHniGFGnJabaZykEwBEBGWEn.pkg	KO5ifR1dQ+eHBlgi6TIwAdnvGuwc4O7o6+rrGBziGhQajM9/Ips99m+VSfL/n325burtfX9HY3xwAwAXSBZX	UP9000-PCSA00004_00-ESCPGAMEMASTERUS	2017-09-26 00:00:00		883055376	22a45700e965766b9b92fc19e80e2f7f7075fce88e56a96ddccae5c98fc37e2f	1.52	1.00
PCSA00006	US	Super Stardust Delta	http://ares.dl.playstation.net/cdn/UP9000/PCSA00006_00/ZRauJqGJBXVAZMJLUmWtxBewgbjIpudpYpdpvOnacOylERCSVSIunlMGPUqOlSlToehCTNboYzviAZDJvUJtGLfZCyRGkdzdoeuzK.pkg	KO5ifR1dQ+eHBlgi6TIwA9kfHOzi6hPiCLcUn//YAz+b8L/Y+EBwE3/GZw2BGYM8OphHenoEAMEzEzEA	UP9000-PCSA00006_00-SSDELTA000000000	2017-09-26 00:00:00		217124768	7863c39da240e6e1b2be95a8d3c1d22288cd86a0b474df5bf4482f88cbf41142	1.52	1.00
PCSA00007	US	Hustle Kings	http://ares.dl.playstation.net/cdn/UP9000/PCSA00007_00/qAbinVGrxDDnxZEBctdOskdIXlBonwWeDDNCaBvBXIwTIKDSrzPdApyPkoYxSaPHrvRovSgtbKFPBhjjbQMsldUzFznyxEqxUXEOk.pkg	KO5ifR1dQ+eHBlgi6TIwB9kf6hEaHOLj6u3pB7ETn/9c4j7FB28/Wbt908EibQOzBYM8OphHenoEAEqSFKsA	UP9000-PCSA00007_00-UHUSTLEKIN000001	2017-09-26 00:00:00		337832624	59d0700ef7a1949ccab78c25cef2ee51d51cbd065f30425a4e45800699156258	1.52	1.00
PCSA00008	US	Resistance: Burning Skies (ENG-SPA)	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00008_00/AScNCYDwalymxlROOfQhixfjHTdYeIPlWLBSEQkeqfWvKqOzLKyknKHQIvnatIxLdyOAOOZJudKYuJczhcitXiYZGSjwBZIhMFGEQ.pkg	KO5ifR1dQ+eHBlgi6TKwANkf5BrsGRzi6OfsGuYZ4hgajM9/QZmvv6dMjthRtXOB6xvZ+7GDPDqYR3p6BAD7VhY9	UP9000-PCSA00008_00-RESISTANCEVITAUS	2017-09-26 00:00:00	Resistance: Burning Skies	3051102448	f1ffd7aae9adc0a47a6c32107a0f9478f6f54a6b68ec9cd4f89d47deb3a5ed90	1.67	1.00
PCSA00009	US	Hot Shots Golf: World Invitational	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00009_00/CiUACAwRsEVybrCgexyCyyAapxJUEBouIiBqlkxrNOfrreqvhPWuIblhAfYnICzzuYrKfjyekgHYKqtfPgVFQcKgdbrczakrTmJYs.pkg	KO5ifR1dQ+eHBlgi6TKwBNkPtMbQyMjY2MTE1NTMzNwcn/8YQ57nKbr5WuabHf5Z89ygdjTGBzcAAMZ9Eq0A	UP9000-PCSA00009_00-0011223344556677	2017-09-26 00:00:00		1210672208	9d9e3f5ad66f21b0d34864afea6bc46699cc9e472a4f831eac6d5e234eda0b6b	1.06	1.00
PCSA00010	US	Little Deviants	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00010_00/DyvxCwhktARZPhonFtfEzMDVEJZcbPqEsAqBsDPtOYzdNHFNKmoeTYDryxVFEWgosVzntwdXrtjBnBqdsLnByrsnuxgWcRmyZbRHO.pkg	KO5ifR1dQ+eHBlgi6TIE2+/jGRLi4+riGubp6BcSDDQDD2AJ8J2um/UgqZa5YwqP0fwflIUWywYaRwfzSE+PAEV/FCoA	UP9000-PCSA00010_00-LITTLEDEVIANTS00	2017-10-21 19:08:02		939096272	5efaf4a887835d8109c9a8aca06b452910639cad443ae0fa6f664734ee9edab9	1.05	1.00
